Cluster No,Probe,Locus ID, regulation,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA4c42114,AT4G04750,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA5A23120,AT5G25390,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA_GFT_03087,AT4G04760,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA3A50700,AT3G57680,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA1A62270,AT1G73040,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA4A34780,AT4G33040,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA5A56290,AT5G60580,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA2A32970,AT2G34850,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA2a44000,AT2G45600,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA4c42023,AT4G01060,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA4A23640,AT4G21926,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA5c64918,AT5G53710,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA3A50540,AT3G57540,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA2A46210,AT2G47780,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA1A51660,AT1G62540,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA3A41210,AT3G48240,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA1a03090,AT1G04220,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA4A17720,AT4G16750,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA1c71438,AT1G28570,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA4a40170,AT4G38730,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA5A61810,AT5G66460,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA1a60665,AT1G71340,up,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CATMA1a05510,AT1G06475,up,,,,,,,,,,,,,,,,,,,,,,,,,,
