"gene","degree","betweenness","closeness","eigenvector"
"AT1G01080",468,1397.50645948618,1.45977708328072e-07,0.853446519332781
"AT1G01100",37,58.8777476448877,1.04323521427947e-07,1.49321692456771e-17
"AT1G01170",9,0.00632911392405063,1.45956146308193e-07,0.0190181372840937
"AT1G01280",23,99.8319285857802,1.02007081127558e-07,2.23982538685156e-17
"AT1G01310",33,352.803288765247,1.02010119607885e-07,2.23982538685156e-17
"AT1G01320",250,220.909160299705,1.45970953531899e-07,0.516131792181205
"AT1G01460",2,0,1.02006019783251e-07,9.33260577854818e-19
"AT1G01560",3,1784.36948051948,1.45871451366969e-07,1.0067256373048e-11
"AT1G01750",37,1496.7049052522,1.04218037474305e-07,1.49321692456771e-17
"AT1G01790",59,7.09560917926912,1.45963730640283e-07,0.125313854944613
"AT1G01970",45,9.18051539179731,1.45960769248285e-07,0.0662502263894078
"AT1G01980",29,38.0913593203948,1.02009412000408e-07,7.46608462283854e-18
"AT1G02150",182,350.89494725293,1.45966628233653e-07,0.275893058940984
"AT1G02190",6,2974.5,1.02005780463567e-07,0
"AT1G02280",9,0,1.4595367517922e-07,0.0121684327513541
"AT1G02360",2,12.8333333333333,9.27814974395554e-08,1.86652115570964e-18
"AT1G02475",366,5168.60217865736,1.45975513483466e-07,0.649422815419902
"AT1G02560",159,120.402191226178,1.45968524515122e-07,0.343889999560817
"AT1G02690",3,156.782478632479,9.640454431741e-08,4.66630288927409e-18
"AT1G02700",48,86.7815566349707,9.77709494546679e-08,4.47965077370313e-17
"AT1G02710",4,2.58333333333333,9.26686495286502e-08,9.33260577854818e-19
"AT1G02730",23,26.2870572459208,9.6406691241375e-08,1.49321692456771e-17
"AT1G02780",17,2.66421470506223,1.04323151393757e-07,1.11991269342578e-17
"AT1G02790",60,122.2493811009,1.02011774198978e-07,4.47965077370313e-17
"AT1G02810",8,10.2401061818374,1.04215832656886e-07,9.33260577854818e-18
"AT1G02813",33,92.7952180485375,1.02008600345095e-07,2.23982538685156e-17
"AT1G02870",6,111.619545047195,1.04322454865933e-07,3.73304231141927e-18
"AT1G02900",28,70.8791823773304,1.04217994028726e-07,1.49321692456771e-17
"AT1G02910",108,79.0893669895658,1.45966436477596e-07,0.212034846382066
"AT1G03050",71,1143.71665282401,1.02011274694124e-07,2.98643384913542e-17
"AT1G03130",460,1803.57343069305,1.45978645951713e-07,0.858964012816991
"AT1G03160",3,2.30292059425073,1.45956082398631e-07,0.00461444253907331
"AT1G03310",1,0,9.22742208987638e-08,6.99945433391114e-19
"AT1G03360",22,909.321079572829,1.04325121311859e-07,0
"AT1G03400",2,0,1.45919620468904e-07,2.6186588326973e-06
"AT1G03475",215,27.7295905938659,1.45969675091939e-07,0.438185814646774
"AT1G03600",463,1587.83690448981,1.45977346067618e-07,0.875161428629784
"AT1G03630",559,3865.7285765364,1.45980649097117e-07,0.971677179088919
"AT1G03680",588,5062.98912091799,1.45982268701679e-07,0.986969888107684
"AT1G03780",37,747.983155254258,9.64069514810807e-08,1.49321692456771e-17
"AT1G03790",5,0.112637362637363,9.77691810423211e-08,1.86652115570964e-18
"AT1G03870",1,0,9.20503817513432e-08,6.99945433391114e-19
"AT1G03880",39,375.308025781265,9.77713222632732e-08,2.98643384913542e-17
"AT1G03890",27,557.404518255994,9.77711406382129e-08,0
"AT1G03990",1,0,9.7768903837537e-08,4.66630288927409e-19
"AT1G04020",8,80.4260590036515,9.64057153549914e-08,5.59956346712891e-18
"AT1G04190",1,0,1.04320506814059e-07,9.33260577854818e-19
"AT1G04270",58,76.2584902122318,1.04324381223406e-07,0
"AT1G04350",133,1685.11306143282,1.45966329946671e-07,0.223842669514057
"AT1G04380",6,288.5,9.77669156561886e-08,3.73304231141927e-18
"AT1G04420",494,1540.99451514308,1.45977750947067e-07,0.883619373437474
"AT1G04480",30,54.8348230703573,1.04324174435862e-07,0
"AT1G04560",51,230.611915770121,9.77709590138274e-08,4.47965077370313e-17
"AT1G04640",289,1064.87281141022,1.45972061531311e-07,0.587925810841103
"AT1G04670",51,883.146249566783,1.0201163891593e-07,2.98643384913542e-17
"AT1G04900",1,0,1.04320746235508e-07,6.99945433391114e-19
"AT1G04980",1,0,9.21062460284938e-08,1.16657572231852e-18
"AT1G05140",345,628.550862520431,1.45973553095544e-07,0.672306994417246
"AT1G05190",478,1280.3497356564,1.45978091899924e-07,0.883342361551462
"AT1G05260",36,474.263332237838,1.04218189534118e-07,2.23982538685156e-17
"AT1G05385",31,0,1.45961962312621e-07,0.0728738449093256
"AT1G05440",15,7.89138483094732,9.64063287669833e-08,7.46608462283854e-18
