"Probe_Set_ID","Description","Variance_Residual","SumVariance","SampleVariance","PropVar_Residual","RSquare","F_T3_genotype","F_T3_temp","F_T3_genotype_temp","NDF_T3_genotype","NDF_T3_temp","NDF_T3_genotype_temp","DDF_T3_genotype","DDF_T3_temp","DDF_T3_genotype_temp","PrF_T3_genotype","PrF_T3_temp","PrF_T3_genotype_temp","NLP_T3_genotype","NLP_T3_temp","NLP_T3_genotype_temp","Adjusted..PrF_T3__label_1","Adjusted..PrF_T3__label_2","Adjusted..PrF_T3__label_3","Sig.Index.PrF_T3_genotype","Sig.Index.PrF_T3_temp","Sig.Index.PrF_T3_genotype_temp","Sum.Sig.Index.for.F.Tests","Avg.Sig.Index.for.F.Tests"
"AT1G01050","Symbols: AtPPa1, PPa1 | pyrophosphorylase 1 | chr1:31170-33153 REVERSE LENGTH=976",0.019371,0.019371,0.091457,1,0.858798,8.66257,118.744,1.78527,8,1,8,34,34,34,"<.0001","<.0001","0.1146",5.631929,11.90796,0.940895,1.38e-05,2.82e-11,0.22443,1,1,0,2,0.666667
"AT1G01060","Symbols: LHY | Homeodomain-like superfamily protein | chr1:33967-37871 REVERSE LENGTH=2722",0.297063,0.297063,3.205209,1,0.938212,1.11677,485.276,0.53857,8,1,8,34,34,34,"0.3769","<.0001","0.8191",0.42379,20.97975,0.086681,0.55888,2.8e-19,0.913149,0,1,0,1,0.333333
"AT1G01070","Symbols:  | nodulin MtN21 /EamA-like transporter family protein | chr1:38752-40927 REVERSE LENGTH=1433",0.126133,0.126133,0.337624,1,0.750939,6.97779,42.9618,0.53502,8,1,8,34,34,34,"<.0001","<.0001","0.8217",4.690589,6.781032,0.085264,0.000101,1.23e-06,0.914815,1,1,0,2,0.666667
"AT1G01080","Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr1:45296-47019 REVERSE LENGTH=1319",0.038707,0.038707,0.809549,1,0.968125,103.639,135.572,9.74168,8,1,8,34,34,34,"<.0001","<.0001","<.0001",20.87049,12.68528,6.180115,3.48e-19,5.72e-12,4.35e-06,1,1,1,3,1
"AT1G01090","Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47485-49286 REVERSE LENGTH=1627",0.017404,0.017404,0.108911,1,0.893466,31.3266,27.6787,1.65956,8,1,8,34,34,34,"<.0001","<.0001","0.1447",12.78619,5.103937,0.839431,4.63e-12,4.2e-05,0.271077,1,1,0,2,0.666667
"AT1G01110","Symbols: IQD18 | IQ-domain 18 | chr1:52239-54692 FORWARD LENGTH=1782",0.008402,0.008402,0.018381,1,0.695265,5.34886,15.5308,1.68638,8,1,8,34,34,34,"0.0002","0.0004","0.1377",3.661685,3.416283,0.860985,0.000875,0.001466,0.26051,1,1,0,2,0.666667
"AT1G01120","Symbols: KCS1 | 3-ketoacyl-CoA synthase 1 | chr1:57269-59167 REVERSE LENGTH=1899",0.370749,0.370749,0.931941,1,0.734784,4.39369,48.0149,1.16289,8,1,8,34,34,34,"0.001","<.0001","0.3493",2.99468,7.259948,0.456848,0.003544,4.48e-07,0.53006,1,1,0,2,0.666667
"AT1G01130","Symbols:  | CONTAINS InterPro DOMAIN/s: CBL-interacting protein kinase (InterPro:IPR020660), Calcium/calmodulin-dependent protein kinase-like (InterPro:IPR020636); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G47170.1); Has 176 Blas",0.043447,0.043447,0.055015,1,0.473511,1.29683,9.93948,1.10224,8,1,8,34,34,34,"0.2781","0.0034","0.3859",0.555865,2.472225,0.413496,0.449133,0.010477,0.568662,0,1,0,1,0.333333
"AT1G01160","Symbols: GIF2 | GRF1-interacting factor 2 | chr1:72339-74096 FORWARD LENGTH=1045",0.025992,0.025992,0.185207,1,0.906439,26.3567,91.272,1.92223,8,1,8,34,34,34,"<.0001","<.0001","0.0886",11.70244,10.431,1.052442,4.29e-11,5.91e-10,0.181778,1,1,0,2,0.666667
"AT1G01170","Symbols:  | Protein of unknown function (DUF1138) | chr1:73931-74731 REVERSE LENGTH=503",0.068366,0.068366,0.173422,1,0.737189,3.66512,55.306,1.09225,8,1,8,34,34,34,"0.0035","<.0001","0.3922",2.451643,7.899906,0.406462,0.010933,1.17e-07,0.575357,1,1,0,2,0.666667
"AT1G01190","Symbols: CYP78A8 | cytochrome P450, family 78, subfamily A, polypeptide 8 | chr1:83045-84864 REVERSE LENGTH=1608",0.024731,0.024731,0.083068,1,0.801524,6.58073,65.0468,3.54792,8,1,8,34,34,34,"<.0001","<.0001","0.0043",4.451467,8.675936,2.361529,0.000166,2.31e-08,0.013165,1,1,1,3,1
"AT1G01220","Symbols: FKGP, AtFKGP | L-fucokinase/GDP-L-fucose pyrophosphorylase | chr1:91376-95651 FORWARD LENGTH=3532",0.10473,0.10473,0.155224,1,0.5502,2.4438,9.14181,1.32302,8,1,8,34,34,34,"0.0331","0.0047","0.2657",1.480207,2.325328,0.575674,0.07906,0.014179,0.43443,0,1,0,1,0.333333
"AT1G01225","Symbols:  | NC domain-containing protein-related | chr1:95987-97407 FORWARD LENGTH=1025",0.038199,0.038199,0.091357,1,0.721248,9.28812,7.41231,0.90386,8,1,8,34,34,34,"<.0001","0.0101","0.5246",5.954434,1.99372,0.280194,7e-06,0.028088,0.700836,1,1,0,2,0.666667
"AT1G01240","Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G46550.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Othe",0.155256,0.155256,0.661602,1,0.843556,12.7955,71.5411,0.62271,8,1,8,34,34,34,"<.0001","<.0001","0.7527",7.547294,9.151149,0.123352,2.45e-07,8.52e-09,0.872123,1,1,0,2,0.666667
"AT1G01250","Symbols:  | Integrase-type DNA-binding superfamily protein | chr1:104491-105330 REVERSE LENGTH=840",0.176903,0.176903,0.637765,1,0.81508,6.90505,83.1878,0.96211,8,1,8,34,34,34,"<.0001","<.0001","0.4811",4.647314,9.933245,0.317798,0.00011,1.67e-09,0.662093,1,1,0,2,0.666667
"AT1G01290","Symbols: CNX3 | cofactor of nitrate reductase and xanthine dehydrogenase 3 | chr1:114286-115549 FORWARD LENGTH=1079",0.059442,0.059442,0.097376,1,0.593039,4.00857,14.1827,0.3298,8,1,8,34,34,34,"0.0019","0.0006","0.9486",2.711347,3.200797,0.022929,0.006394,0.002307,0.978965,1,1,0,2,0.666667
"AT1G01300","Symbols:  | Eukaryotic aspartyl protease family protein | chr1:116943-118764 FORWARD LENGTH=1822",0.073367,0.073367,0.119878,1,0.591988,2.54908,9.65964,1.9912,8,1,8,34,34,34,"0.0271","0.0038","0.0778",1.566255,2.421092,1.108879,0.066526,0.01164,0.163432,0,1,0,1,0.333333
"AT1G01340","Symbols: ATCNGC10, CNGC10, ACBK1 | cyclic nucleotide gated channel 10 | chr1:132328-135322 REVERSE LENGTH=2411",0.131941,0.131941,0.358349,1,0.754539,8.20588,33.2152,0.90277,8,1,8,34,34,34,"<.0001","<.0001","0.5254",5.387711,5.75735,0.279506,2.31e-05,1.06e-05,0.701483,1,1,0,2,0.666667
"AT1G01360","Symbols: RCAR1, PYL9 | regulatory component of ABA receptor 1 | chr1:141971-143183 FORWARD LENGTH=1000",0.21369,0.21369,0.468308,1,0.695798,5.99486,19.4873,0.96885,8,1,8,34,34,34,"<.0001","<.0001","0.4762",4.085235,4.011915,0.322241,0.00036,0.00042,0.657515,1,1,0,2,0.666667
"AT1G01370","Symbols: HTR12, CENH3 | Histone superfamily protein | chr1:143564-145650 FORWARD LENGTH=909",0.015688,0.015688,0.054655,1,0.808636,13.1771,7.75765,3.9969,8,1,8,34,34,34,"<.0001","0.0087","0.002",7.702017,2.061481,2.702631,1.77e-07,0.024444,0.006507,1,1,1,3,1
"AT1G01380","Symbols: ETC1 | Homeodomain-like superfamily protein | chr1:147153-147942 FORWARD LENGTH=568",0.002749,0.002749,0.00435,1,0.578726,2.95072,12.3894,0.93759,8,1,8,34,34,34,"0.0128","0.0013","0.4991",1.89132,2.902862,0.301796,0.034547,0.004291,0.678449,1,1,0,2,0.666667
"AT1G01390","Symbols:  | UDP-Glycosyltransferase superfamily protein | chr1:148120-149806 REVERSE LENGTH=1687",0.016784,0.016784,0.052772,1,0.787972,11.9086,13.3917,2.06171,8,1,8,34,34,34,"<.0001","0.0008","0.0681",7.174959,3.07104,1.166682,5.35e-07,0.003024,0.146296,1,1,0,2,0.666667
"AT1G01420","Symbols: UGT72B3 | UDP-glucosyl transferase 72B3 | chr1:154492-156011 REVERSE LENGTH=1520",0.105972,0.105972,0.533105,1,0.867478,15.9472,89.4339,0.95949,8,1,8,34,34,34,"<.0001","<.0001","0.483",8.738859,10.32075,0.316078,2.02e-08,7.45e-10,0.663686,1,1,0,2,0.666667
"AT1G01430","Symbols: TBL25 | TRICHOME BIREFRINGENCE-LIKE 25 | chr1:156801-158655 REVERSE LENGTH=1642",0.055782,0.055782,0.357267,1,0.89591,13.4,179.664,0.95519,8,1,8,34,34,34,"<.0001","<.0001","0.4861",7.790956,14.4019,0.313257,1.47e-07,1.75e-13,0.666575,1,1,0,2,0.666667
"AT1G01440","Symbols:  | Protein of unknown function (DUF3133) | chr1:159856-162572 REVERSE LENGTH=2221",0.031008,0.031008,0.061903,1,0.666057,6.44006,7.97204,1.24501,8,1,8,34,34,34,"<.0001","0.0079","0.304",4.365021,2.103142,0.51707,0.000199,0.022436,0.479425,1,1,0,2,0.666667
"AT1G01470","Symbols: LEA14, LSR3 | Late embryogenesis abundant protein | chr1:172146-172948 REVERSE LENGTH=727",0.136237,0.136237,0.470608,1,0.807006,8.85565,66.2898,0.75372,8,1,8,34,34,34,"<.0001","<.0001","0.6447",5.732916,8.769306,0.190675,1.12e-05,1.89e-08,0.798417,1,1,0,2,0.666667
"AT1G01490","Symbols:  | Heavy metal transport/detoxification superfamily protein  | chr1:180059-182293 REVERSE LENGTH=986",0.119128,0.119128,0.374115,1,0.787717,6.3265,61.5118,1.60595,8,1,8,34,34,34,"<.0001","<.0001","0.1598",4.294558,8.403717,0.796522,0.000231,4.09e-08,0.293373,1,1,0,2,0.666667
"AT1G01500","Symbols:  | Erythronate-4-phosphate dehydrogenase family protein | chr1:185133-186923 FORWARD LENGTH=1461",0.042142,0.042142,0.159588,1,0.823957,8.40632,83.759,1.46865,8,1,8,34,34,34,"<.0001","<.0001","0.2051",5.495844,9.969543,0.687991,1.84e-05,1.55e-09,0.356654,1,1,0,2,0.666667
"AT1G01510","Symbols: AN | NAD(P)-binding Rossmann-fold superfamily protein | chr1:187211-190056 FORWARD LENGTH=2155",0.029275,0.029275,0.093349,1,0.790927,5.66107,70.9715,0.80729,8,1,8,34,34,34,"0.0001","<.0001","0.6008",3.869054,9.110679,0.221268,0.000567,9.27e-09,0.764526,1,1,0,2,0.666667
"AT1G01520","Symbols:  | Homeodomain-like superfamily protein | chr1:190596-192139 FORWARD LENGTH=864",0.050953,0.050953,0.116082,1,0.707371,3.11507,35.0282,2.49787,8,1,8,34,34,34,"0.0095","<.0001","0.0299",2.022461,5.959049,1.524429,0.026467,6.93e-06,0.072374,1,1,0,2,0.666667
"AT1G01530","Symbols: AGL28 | AGAMOUS-like 28 | chr1:192640-193670 REVERSE LENGTH=752",0.005686,0.005686,0.006683,1,0.432815,1.06923,17.6504,0.17111,8,1,8,34,34,34,"0.407","0.0002","0.9934",0.390362,3.7418,0.002879,0.590278,0.000739,0.997461,0,1,0,1,0.333333
"AT1G01540","Symbols:  | Protein kinase superfamily protein | chr1:195780-198684 FORWARD LENGTH=1920",0.070526,0.070526,0.132595,1,0.645405,5.35761,7.91494,0.92156,8,1,8,34,34,34,"0.0002","0.0081","0.5111",3.667571,2.092077,0.291467,0.000864,0.022942,0.689153,1,1,0,2,0.666667
"AT1G01570","Symbols:  | Protein of unknown function (DUF604) | chr1:205176-207435 FORWARD LENGTH=1437",0.010778,0.010778,0.022646,1,0.682706,6.05815,19.3662,0.35973,8,1,8,34,34,34,"<.0001","0.0001","0.9344",4.125595,3.994432,0.029462,0.00033,0.000435,0.972772,1,1,0,2,0.666667
"AT1G01600","Symbols: CYP86A4 | cytochrome P450, family 86, subfamily A, polypeptide 4 | chr1:218994-221286 FORWARD LENGTH=2163",0.075564,0.075564,0.545993,1,0.907735,25.4635,101.828,2.6059,8,1,8,34,34,34,"<.0001","<.0001","0.0244",11.48969,11.03407,1.612574,6.64e-11,1.69e-10,0.06066,1,1,0,2,0.666667
"AT1G01620","Symbols: PIP1C, TMP-B, PIP1;3 | plasma membrane intrinsic protein 1C | chr1:225665-227302 REVERSE LENGTH=1279",0.113069,0.113069,1.039234,1,0.927466,30.4086,146.672,4.4023,8,1,8,34,34,34,"<.0001","<.0001","0.001",12.59756,13.15649,3.000912,6.83e-12,2.18e-12,0.003498,1,1,1,3,1
"AT1G01630","Symbols:  | Sec14p-like phosphatidylinositol transfer family protein | chr1:229013-230917 FORWARD LENGTH=1203",0.082115,0.082115,0.153517,1,0.643403,3.69843,20.1508,1.57444,8,1,8,34,34,34,"0.0033","<.0001","0.1693",2.477118,4.106955,0.771436,0.010378,0.000343,0.307067,1,1,0,2,0.666667
"AT1G01640","Symbols:  | BTB/POZ domain-containing protein | chr1:230994-232322 REVERSE LENGTH=883",0.113649,0.113649,0.636796,1,0.88102,27.4611,22.6931,1.20919,8,1,8,34,34,34,"<.0001","<.0001","0.3231",11.95733,4.459624,0.490606,2.55e-11,0.000163,0.501104,1,1,0,2,0.666667
"AT1G01695","Symbols:  | Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-related | chr1:252947-254495 FORWARD LENGTH=1302",0.025798,0.025798,0.033856,1,0.492006,1.88259,6.13565,1.29954,8,1,8,34,34,34,"0.0955","0.0184","0.2768",1.020083,1.735655,0.557904,0.19321,0.047378,0.447501,0,1,0,1,0.333333
"AT1G01700","Symbols: ATROPGEF2, ROPGEF2 | RHO guanyl-nucleotide exchange factor 2 | chr1:259495-261474 REVERSE LENGTH=1458",0.001695,0.001695,0.002008,1,0.43714,1.95691,6.75486,0.58703,8,1,8,34,34,34,"0.083","0.0137","0.7814",1.080806,1.862379,0.107119,0.172492,0.03666,0.890188,0,1,0,1,0.333333
"AT1G01710","Symbols:  | Acyl-CoA thioesterase family protein | chr1:262828-267771 FORWARD LENGTH=2492",0.15541,0.15541,0.217407,1,0.523444,2.63135,6.42926,1.17996,8,1,8,34,34,34,"0.0233","0.016","0.3394",1.633291,1.796126,0.469234,0.05824,0.041878,0.51946,0,1,0,1,0.333333
