"Probe_Set_ID","Description","Variance_Residual","SumVariance","SampleVariance","PropVar_Residual","RSquare","F_T3_genotype","F_T3_temp","F_T3_genotype_temp","NDF_T3_genotype","NDF_T3_temp","NDF_T3_genotype_temp","DDF_T3_genotype","DDF_T3_temp","DDF_T3_genotype_temp","PrF_T3_genotype","PrF_T3_temp","PrF_T3_genotype_temp","NLP_T3_genotype","NLP_T3_temp","NLP_T3_genotype_temp","Adjusted..PrF_T3__label_1","Adjusted..PrF_T3__label_2","Adjusted..PrF_T3__label_3","Sig.Index.PrF_T3_genotype","Sig.Index.PrF_T3_temp","Sig.Index.PrF_T3_genotype_temp","Sum.Sig.Index.for.F.Tests","Avg.Sig.Index.for.F.Tests"
"AT1G01080","Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr1:45296-47019 REVERSE LENGTH=1319",0.038707,0.038707,0.809549,1,0.968125,103.639,135.572,9.74168,8,1,8,34,34,34,"<.0001","<.0001","<.0001",20.87049,12.68528,6.180115,3.48e-19,5.72e-12,4.35e-06,1,1,1,3,1
"AT1G01190","Symbols: CYP78A8 | cytochrome P450, family 78, subfamily A, polypeptide 8 | chr1:83045-84864 REVERSE LENGTH=1608",0.024731,0.024731,0.083068,1,0.801524,6.58073,65.0468,3.54792,8,1,8,34,34,34,"<.0001","<.0001","0.0043",4.451467,8.675936,2.361529,0.000166,2.31e-08,0.013165,1,1,1,3,1
"AT1G01370","Symbols: HTR12, CENH3 | Histone superfamily protein | chr1:143564-145650 FORWARD LENGTH=909",0.015688,0.015688,0.054655,1,0.808636,13.1771,7.75765,3.9969,8,1,8,34,34,34,"<.0001","0.0087","0.002",7.702017,2.061481,2.702631,1.77e-07,0.024444,0.006507,1,1,1,3,1
"AT1G01620","Symbols: PIP1C, TMP-B, PIP1;3 | plasma membrane intrinsic protein 1C | chr1:225665-227302 REVERSE LENGTH=1279",0.113069,0.113069,1.039234,1,0.927466,30.4086,146.672,4.4023,8,1,8,34,34,34,"<.0001","<.0001","0.001",12.59756,13.15649,3.000912,6.83e-12,2.18e-12,0.003498,1,1,1,3,1
"AT1G01720","Symbols: ATAF1, ANAC002 | NAC (No Apical Meristem) domain transcriptional regulator superfamily protein | chr1:268330-269819 FORWARD LENGTH=1316",0.129022,0.129022,0.539322,1,0.840513,18.7752,1.82711,3.27482,8,1,8,34,34,34,"<.0001","0.1854","0.0071",9.667322,0.731904,2.148713,2.9e-09,0.329924,0.020449,1,0,1,2,0.666667
"AT1G01900","Symbols: ATSBT1.1, SBTI1.1 | subtilase family protein | chr1:310316-313130 FORWARD LENGTH=2460",0.064153,0.064153,0.589708,1,0.927475,33.489,127.688,3.46889,8,1,8,34,34,34,"<.0001","<.0001","0.005",13.21237,12.33128,2.300351,1.96e-12,1.17e-11,0.014935,1,1,1,3,1
"AT1G01990","Symbols:  | unknown protein; Has 32 Blast hits to 32 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 32; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:343166-344341 REVERSE LENGTH=1176",0.058248,0.058248,0.221191,1,0.82444,4.00289,93.7697,4.23946,8,1,8,34,34,34,"0.002","<.0001","0.0013",2.707107,10.57822,2.882216,0.006447,4.37e-10,0.004479,1,1,1,3,1
"AT1G02050","Symbols: LAP6 | Chalcone and stilbene synthase family protein | chr1:359117-360518 REVERSE LENGTH=1312",0.028754,0.028754,0.143086,1,0.866031,23.8802,0.08282,3.67061,8,1,8,34,34,34,"<.0001","0.7753","0.0035",11.09689,0.110556,2.455849,1.49e-10,0.886614,0.010842,1,0,1,2,0.666667
"AT1G02220","Symbols: ANAC003, NAC003 | NAC domain containing protein 3 | chr1:428814-430647 REVERSE LENGTH=1353",0.043239,0.043239,0.512353,1,0.943738,66.2716,18.7162,2.84975,8,1,8,34,34,34,"<.0001","0.0001","0.0155",17.75829,3.899813,1.810173,2.06e-16,0.000531,0.040752,1,1,1,3,1
"AT1G02310","Symbols: MAN1 | Glycosyl hydrolase superfamily protein | chr1:458133-460696 REVERSE LENGTH=1390",0.16595,0.16595,1.049811,1,0.894616,19.6737,80.5287,6.06546,8,1,8,34,34,34,"<.0001","<.0001","<.0001",9.939696,9.761874,4.130242,1.65e-09,2.38e-09,0.000327,1,1,1,3,1
"AT1G02790","Symbols: PGA4 | polygalacturonase 4 | chr1:610391-612324 REVERSE LENGTH=1658",0.012813,0.012813,0.040417,1,0.788658,7.46885,23.9172,5.32313,8,1,8,34,34,34,"<.0001","<.0001","0.0002",4.976761,4.623321,3.644374,5.51e-05,0.000116,0.000908,1,1,1,3,1
"AT1G02800","Symbols: ATCEL2, CEL2 | cellulase 2 | chr1:613216-616191 REVERSE LENGTH=1764",0.028924,0.028924,0.192553,1,0.899858,16.1649,139.461,7.17582,8,1,8,34,34,34,"<.0001","<.0001","<.0001",8.814565,12.85378,4.807237,1.73e-08,4.04e-12,7.9e-05,1,1,1,3,1
"AT1G02850","Symbols: BGLU11 | beta glucosidase 11 | chr1:630505-633259 FORWARD LENGTH=1651",0.013243,0.013243,1.001298,1,0.991271,400.375,59.5013,14.4255,8,1,8,33,33,33,"<.0001","<.0001","<.0001",29.85015,8.157397,8.057521,3.5e-27,6.83e-08,8.44e-08,1,1,1,3,1
"AT1G02860","Symbols: NLA | SPX (SYG1/Pho81/XPR1) domain-containing protein | chr1:635144-637262 FORWARD LENGTH=1511",0.041549,0.041549,0.143676,1,0.80721,7.27312,47.4169,3.66358,8,1,8,34,34,34,"<.0001","<.0001","0.0035",4.863929,7.204883,2.450463,7.01e-05,5.02e-07,0.010958,1,1,1,3,1
"AT1G03020","Symbols:  | Thioredoxin superfamily protein | chr1:698207-698515 REVERSE LENGTH=309",0.036482,0.036482,0.190241,1,0.872157,21.3777,5.48271,6.89111,8,1,8,34,34,34,"<.0001","0.0252","<.0001",10.43035,1.598531,4.638989,5.91e-10,0.062382,0.000112,1,0,1,2,0.666667
"AT1G03410","Symbols: 2A6 | 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | chr1:844436-847683 REVERSE LENGTH=2652",0.012001,0.012001,0.036896,1,0.783164,6.20546,28.033,5.76258,8,1,8,34,34,34,"<.0001","<.0001","0.0001",4.218774,5.147581,3.935394,0.000271,3.84e-05,0.000493,1,1,1,3,1
"AT1G03420","Symbols: Sadhu4-2 | transposable element gene | chr1:846664-847739 FORWARD LENGTH=1076",0.183037,0.183037,3.738576,1,0.967361,96.6413,142.922,7.90313,8,1,8,34,34,34,"<.0001","<.0001","<.0001",20.37888,13.00061,5.221497,9.98e-19,3e-12,3.29e-05,1,1,1,3,1
"AT1G03430","Symbols: AHP5 | histidine-containing phosphotransfer factor 5 | chr1:847873-849500 FORWARD LENGTH=1025",0.080742,0.080742,0.54733,1,0.901653,36.471,1.13358,2.77891,8,1,8,34,34,34,"<.0001","0.2945","0.0177",13.76255,0.530892,1.752984,6.44e-13,0.468641,0.045722,1,0,1,2,0.666667
"AT1G03440","Symbols:  | Leucine-rich repeat (LRR) family protein | chr1:852366-854032 FORWARD LENGTH=1667",0.024133,0.024133,0.182857,1,0.912016,40.1564,8.31568,3.15275,8,1,8,34,34,34,"<.0001","0.0068","0.0089",14.39045,2.169294,2.052352,1.79e-13,0.019599,0.024899,1,1,1,3,1
"AT1G03590","Symbols:  | Protein phosphatase 2C family protein | chr1:894254-897518 REVERSE LENGTH=2003",0.019399,0.019399,0.042978,1,0.699085,2.34223,29.3549,3.63893,8,1,8,34,34,34,"0.0401","<.0001","0.0037",1.396972,5.308105,2.431571,0.093402,2.74e-05,0.011387,0,1,1,2,0.666667
"AT1G03600","Symbols: PSB27 | photosystem II family protein | chr1:898876-899655 FORWARD LENGTH=780",0.048704,0.048704,0.560047,1,0.942023,46.5177,150.418,3.87689,8,1,8,34,34,34,"<.0001","<.0001","0.0024",15.36275,13.30893,2.612553,2.57e-14,1.61e-12,0.007848,1,1,1,3,1
"AT1G03680","Symbols: ATHM1, TRX-M1, ATM1, THM1 | thioredoxin M-type 1 | chr1:916819-918064 REVERSE LENGTH=910",0.064322,0.064322,0.343998,1,0.875345,20.0295,50.0658,3.43564,8,1,8,34,34,34,"<.0001","<.0001","0.0053",10.04483,7.445701,2.27451,1.32e-09,3.03e-07,0.015766,1,1,1,3,1
"AT1G03905","Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:993400-995784 FORWARD LENGTH=1141",0.062424,0.062424,0.478851,1,0.913092,11.5605,236.354,3.49486,8,1,8,34,34,34,"<.0001","<.0001","0.0048",7.023632,16.14725,2.320488,7.34e-07,5.16e-15,0.014319,1,1,1,3,1
"AT1G03970","Symbols: GBF4 | G-box binding factor 4 | chr1:1018100-1019247 FORWARD LENGTH=1148",0.027786,0.027786,0.160897,1,0.884869,28.5814,11.5453,3.46252,8,1,8,34,34,34,"<.0001","0.0017","0.0051",12.20723,2.757758,2.295405,1.51e-11,0.005808,0.015087,1,1,1,3,1
"AT1G04010","Symbols: PSAT1, ATPSAT1 | phospholipid sterol acyl transferase 1 | chr1:1031200-1036237 REVERSE LENGTH=2399",0.016881,0.016881,0.11997,1,0.906191,2.34367,259.729,3.86122,8,1,8,34,34,34,"0.04","<.0001","0.0025",1.398154,16.7618,2.600731,0.093185,1.52e-15,0.008046,0,1,1,2,0.666667
"AT1G04250","Symbols: AXR3, IAA17 | AUX/IAA transcriptional regulator family protein | chr1:1136258-1138613 FORWARD LENGTH=1087",0.059555,0.059555,0.686071,1,0.94213,53.3693,50.7832,9.58244,8,1,8,34,34,34,"<.0001","<.0001","<.0001",16.28419,7.509574,6.101634,3.92e-15,2.65e-07,5.13e-06,1,1,1,3,1
"AT1G04410","Symbols:  | Lactate/malate dehydrogenase family protein | chr1:1189078-1191412 REVERSE LENGTH=1484",0.009118,0.009118,0.05054,1,0.879731,7.92767,141.954,4.33764,8,1,8,34,34,34,"<.0001","<.0001","0.0011",5.235103,12.95987,2.953959,3.2e-05,3.25e-12,0.003857,1,1,1,3,1
"AT1G04520","Symbols: PDLP2 | plasmodesmata-located protein 2 | chr1:1231578-1234032 FORWARD LENGTH=1443",0.083784,0.083784,0.665832,1,0.916111,35.6785,59.5094,2.89475,8,1,8,34,34,34,"<.0001","<.0001","0.0142",13.62028,8.244906,1.846389,8.57e-13,5.69e-08,0.037872,1,1,1,3,1
"AT1G04680","Symbols:  | Pectin lyase-like superfamily protein | chr1:1303529-1307884 REVERSE LENGTH=1923",0.203324,0.203324,0.992497,1,0.863426,20.3919,30.2942,3.14814,8,1,8,34,34,34,"<.0001","<.0001","0.0089",10.15043,5.420029,2.048698,1.06e-09,2.16e-05,0.025082,1,1,1,3,1
"AT1G04820","Symbols: TUA4, TOR2 | tubulin alpha-4 chain | chr1:1356191-1358386 REVERSE LENGTH=1703",0.031502,0.031502,0.295084,1,0.928829,37.7233,107.338,3.67989,8,1,8,34,34,34,"<.0001","<.0001","0.0034",13.98195,11.33026,2.462947,4.12e-13,9.2e-11,0.01068,1,1,1,3,1
"AT1G04980","Symbols: ATPDIL2-2, ATPDI10, PDI10, PDIL2-2 | PDI-like 2-2 | chr1:1413644-1416144 REVERSE LENGTH=1593",0.077331,0.077331,0.161568,1,0.680913,4.04972,0.8166,5.35798,8,1,8,34,34,34,"0.0018","0.3725","0.0002",2.742022,0.428832,3.667819,0.006001,0.554431,0.000864,1,0,1,2,0.666667
"AT1G05060","Symbols:  | unknown protein; Has 34 Blast hits to 34 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:1451030-1452872 REVERSE LENGTH=1001",0.029983,0.029983,0.578175,1,0.965428,80.4381,188.741,10.2356,8,1,8,34,34,34,"<.0001","<.0001","<.0001",19.09672,14.71065,6.41858,1.39e-17,9.44e-14,2.63e-06,1,1,1,3,1
"AT1G05120","Symbols:  | Helicase protein with RING/U-box domain | chr1:1471406-1476078 REVERSE LENGTH=2731",0.038955,0.038955,0.11974,1,0.783111,4.86906,49.8447,3.55862,8,1,8,34,34,34,"0.0005","<.0001","0.0043",3.332903,7.425903,2.369791,0.001748,3.16e-07,0.012945,1,1,1,3,1
"AT1G05140","Symbols:  | Peptidase M50 family protein | chr1:1482548-1484056 FORWARD LENGTH=1509",0.041118,0.041118,0.210159,1,0.869565,23.767,3e-04,4.66452,8,1,8,34,34,34,"<.0001","0.9862","0.0006",11.06801,0.006036,3.188923,1.58e-10,0.994744,0.002365,1,0,1,2,0.666667
"AT1G05190","Symbols: emb2394 | Ribosomal protein L6 family | chr1:1502344-1503830 REVERSE LENGTH=935",0.028704,0.028704,0.304033,1,0.93706,55.3172,25.9417,5.13115,8,1,8,34,34,34,"<.0001","<.0001","0.0003",16.52648,4.886022,3.514045,2.43e-15,6.7e-05,0.001193,1,1,1,3,1
"AT1G05680","Symbols: UGT74E2 | Uridine diphosphate glycosyltransferase 74E2 | chr1:1703092-1704691 REVERSE LENGTH=1518",0.027097,0.027097,0.191365,1,0.907529,35.8119,5.46029,5.5001,8,1,8,32,32,32,"<.0001","0.0259","0.0002",13.11029,1.587116,3.679874,2.39e-12,0.063805,0.000842,1,0,1,2,0.666667
"AT1G05810","Symbols: ARA, ARA-1, ATRAB11D, ATRABA5E, RABA5E | RAB GTPase homolog A5E | chr1:1748314-1749460 FORWARD LENGTH=896",0.044275,0.044275,0.071078,1,0.584727,2.38599,0.00879,3.39032,8,1,8,34,34,34,"0.0369","0.9259","0.0058",1.432852,0.033454,2.23919,0.086868,0.968689,0.016956,0,0,1,1,0.333333
"AT1G05880","Symbols: ARI12 | RING/U-box superfamily protein | chr1:1775643-1778553 FORWARD LENGTH=1726",0.028341,0.028341,0.078558,1,0.759488,6.93138,27.5047,3.63239,8,1,8,34,34,34,"<.0001","<.0001","0.0037",4.663005,5.082407,2.426553,0.000106,4.4e-05,0.011507,1,1,1,3,1
"AT1G06080","Symbols: ADS1 | delta 9 desaturase 1 | chr1:1843568-1846302 FORWARD LENGTH=1220",0.077277,0.077277,0.757915,1,0.932027,23.3663,191.418,10.0812,8,1,8,34,34,34,"<.0001","<.0001","<.0001",10.96481,14.79927,6.344817,1.96e-10,7.88e-14,3.07e-06,1,1,1,3,1
"AT1G06150","Symbols:  | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr1:1868989-1873718 REVERSE LENGTH=2968",0.004807,0.004807,0.01124,1,0.714914,7.43032,1.97922,2.91035,8,1,8,34,34,34,"<.0001","0.1685","0.0138",4.954674,0.773275,1.858928,5.78e-05,0.306124,0.036917,1,0,1,2,0.666667
"AT1G06210","Symbols:  | ENTH/VHS/GAT family protein | chr1:1897203-1899208 FORWARD LENGTH=1481",0.078224,0.078224,0.143523,1,0.636651,3.46161,3.46916,2.79948,8,1,8,34,34,34,"0.0051","0.0712","0.017",2.294695,1.147625,1.769609,0.015107,0.151768,0.044184,1,0,1,2,0.666667
"AT1G06520","Symbols: ATGPAT1, GPAT1 | glycerol-3-phosphate acyltransferase 1 | chr1:1993978-1996112 REVERSE LENGTH=1995",0.009137,0.009137,0.038227,1,0.84066,10.1926,28.015,8.54649,8,1,8,34,34,34,"<.0001","<.0001","<.0001",6.398095,5.145376,5.570575,2.75e-06,3.85e-05,1.57e-05,1,1,1,3,1
"AT1G06620","Symbols:  | 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | chr1:2025601-2027271 FORWARD LENGTH=1292",0.102855,0.102855,0.884043,1,0.922436,36.0808,54.0331,6.95351,8,1,8,34,34,34,"<.0001","<.0001","<.0001",13.69285,7.792138,4.676171,7.42e-13,1.47e-07,0.000104,1,1,1,3,1
"AT1G06680","Symbols: PSBP-1, OEE2, PSII-P | photosystem II subunit P-1 | chr1:2047886-2049405 FORWARD LENGTH=1069",0.062294,0.062294,0.319976,1,0.87021,15.7723,77.7702,3.05673,8,1,8,34,34,34,"<.0001","<.0001","0.0106",8.677457,9.579768,1.976053,2.3e-08,3.49e-09,0.029104,1,1,1,3,1
"AT1G06760","Symbols:  | winged-helix DNA-binding transcription factor family protein | chr1:2076504-2077698 REVERSE LENGTH=1090",0.05014,0.05014,0.314357,1,0.893666,1.71686,237.287,2.80642,8,1,8,34,34,34,"0.1302","<.0001","0.0168",0.885541,16.17279,1.775215,0.248677,4.9e-15,0.043696,0,1,1,2,0.666667
"AT1G06890","Symbols:  | nodulin MtN21 /EamA-like transporter family protein | chr1:2111363-2114601 REVERSE LENGTH=1551",0.05979,0.05979,0.152883,1,0.739276,8.96756,1.37657,2.79493,8,1,8,34,34,34,"<.0001","0.2488","0.0171",5.790849,0.60408,1.765935,9.88e-06,0.413831,0.044511,1,0,1,2,0.666667
"AT1G06990","Symbols:  | GDSL-like Lipase/Acylhydrolase superfamily protein | chr1:2148387-2150152 FORWARD LENGTH=1232",0.001409,0.001409,0.002675,1,0.648777,5.39234,0.0102,2.87128,8,1,8,34,34,34,"0.0002","0.9202","0.0149",3.690873,0.036141,1.827508,0.000823,0.965573,0.039353,1,0,1,2,0.666667
"AT1G07040","Symbols:  | unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G27030.1); Has 540 Bl",0.044627,0.044627,0.300166,1,0.900883,35.0363,1.77718,3.32962,8,1,8,34,34,34,"<.0001","0.1914","0.0064",13.50296,0.718148,2.191723,1.09e-12,0.338069,0.018711,1,0,1,2,0.666667
"AT1G07080","Symbols:  | Thioredoxin superfamily protein | chr1:2169982-2172194 FORWARD LENGTH=1218",0.038358,0.038358,0.117614,1,0.782576,9.18118,7.72868,5.60011,8,1,8,34,34,34,"<.0001","0.0088","0.0001",5.900247,2.055828,3.828965,7.83e-06,0.024721,0.000616,1,1,1,3,1
