ID,Chromosome,Duplication Status,Ka,Ks,Ka/Ks,dSM, Expression Level,Tissue Specificity,Gene Length,Intron Number,Average Intron Length,5' UTR Length,3' UTR Length,Fop,GC Content,Multifunctionality,Recombination rate,Chromosome position
AT1G01020,1,Non WGDs,0.0423,0.0979,0.4328,0.099,101.0053212,0.188859165,2810,9,131.8888889,71,814,0.373,38.75338753,2,NA,0.999375016
AT1G01060,1,Early WGDs,0.0441,0.1218,0.3618,0.109,657.8148093,0.230114127,4175,8,183.875,440,326,0.404,43.08565531,7,NA,0.997149926
AT1G01070,1,Recent WGDs,0.0204,0.1006,0.203,0.347,138.5569666,0.385045892,2193,5,176.4,67,146,0.351,41.80327869,NA,NA,0.99680007
AT1G01110,1,Recent WGDs,0.0336,0.1266,0.2656,0.059,24.55315555,0.402535914,2454,4,168,NA,198,0.421,48.29545455,NA,NA,0.995718732
AT1G01120,1,Early WGDs,0.0035,0.1349,0.0258,0.017,1049.220531,0.149788646,1899,NA,NA,189,123,0.464,46.88090737,5,NA,0.995332173
AT1G01140,1,Non WGDs,0.0059,0.1348,0.0436,0.206,1124.760082,0.239426338,3459,13,135.3076923,113,231,0.417,44.69026549,4,NA,0.994708833
AT1G01160,1,Recent WGDs,0.1187,0.1902,0.6237,0.266,300.2171488,0.140586921,1758,4,178.25,244,213,0.422,50.85034014,1,NA,0.994124964
AT1G01190,1,Early WGDs,0.0286,0.1586,0.1803,0.142,94.72290197,0.49928206,1820,1,212,NA,NA,0.396,47.88557214,NA,NA,0.993264844
AT1G01200,1,Non WGDs,0.0197,0.1649,0.1198,0.052,13.04602119,0.385792144,1699,1,717,68,200,0.489,50.28011204,2,NA,0.992986025
AT1G01220,1,Singletons,0.0151,0.1596,0.0946,0.424,169.4392099,0.163064971,3902,6,105.8333333,NA,99,0.368,44.41287879,2,NA,0.992486953
AT1G01225,1,Non WGDs,0.0151,0.1293,0.1165,0.106,57.99105065,0.434758649,1421,1,396,77,165,0.457,44.57215837,NA,NA,0.99224612
AT1G01230,1,Non WGDs,0.0028,0.0709,0.0391,NA,343.9679824,0.173543303,1785,2,476.5,164,194,0.507,44.7257384,3,NA,0.992111344
AT1G01260,1,Early WGDs,0.0212,0.2392,0.0885,0.009,129.2003888,0.113608928,2578,NA,NA,563,242,0.402,44.10603497,3,NA,0.991136785
AT1G01280,1,Non WGDs,0.0265,0.1554,0.1704,0.411,48.98634715,0.75745546,1685,1,83,27,42,0.382,47.09719504,4,NA,0.990926879
AT1G01290,1,Singletons,0.0455,0.2227,0.2044,NA,161.0167365,0.111493629,1264,1,185,13,253,0.409,42.68142681,2,NA,0.990790498
AT1G01300,1,Early WGDs,0.0114,0.1815,0.0628,0.169,727.9073725,0.204228278,1822,NA,NA,122,242,0.514,51.85185185,3,NA,0.990550147
AT1G01305,1,Singletons,0.0762,0.1732,0.4399,0.201,101.0053212,0.188859165,601,NA,NA,32,143,0.278,42.01877934,1,NA,0.990401894
AT1G01360,1,Non WGDs,0.0241,0.1399,0.1723,0.355,302.9464821,0.197023852,1213,2,106.5,167,269,0.451,44.14893617,NA,NA,0.98856601
AT1G01380,1,Non WGDs,0.0171,0.0646,0.2649,0.059,43.2314004,0.217846916,790,2,111,114,202,0.316,42.85714286,3,NA,0.988166696
AT1G01390,1,Non WGDs,0.0485,0.1154,0.4202,0.685,21.67783717,0.476672898,1687,NA,NA,45,199,0.406,47.47054747,1,NA,0.988043432
AT1G01430,1,Recent WGDs,0.0495,0.1345,0.3682,0.146,338.3127895,0.203094595,1855,2,106.5,119,152,0.463,45.07658643,1,NA,0.987345123
AT1G01440,1,Recent WGDs,0.0424,0.1488,0.2847,0.022,111.2656567,0.138325545,2717,4,124,147,79,0.387,45.56390977,1,NA,0.987077777
AT1G01460,1,Recent WGDs,0.0188,0.189,0.0994,0.072,149.5472494,0.756695439,2443,9,110.1111111,157,11,0.402,40.65420561,2,NA,0.986351149
AT1G01470,1,Early WGDs,0.0274,0.1486,0.1844,NA,1603.823948,0.244229945,803,1,76,122,149,0.52,48.46491228,3,NA,0.986156526
AT1G01480,1,Early WGDs,0.0221,0.1335,0.1655,0.042,82.80325528,0.527790971,2619,3,233,80,349,0.399,45.27162978,2,NA,0.985803861
AT1G01540,1,Recent WGDs,0.0039,0.2151,0.0181,0.01,489.4118723,0.123963381,2905,6,164.1666667,200,301,0.358,47.42776603,3,NA,0.984181333
AT1G01560,1,Non WGDs,0.0107,0.1215,0.0882,0.117,166.0763039,0.362986254,2054,5,147,209,NA,0.393,43.42342342,2,NA,0.983693131
AT1G01570,1,Recent WGDs,0.0233,0.1534,0.1522,0.191,32.47688635,0.430961587,2260,2,411.5,NA,NA,0.457,47.66875435,1,NA,0.983449371
AT1G01580,1,Non WGDs,0.0171,0.1152,0.1485,0.045,101.0053212,0.188859165,3647,7,176.8571429,NA,231,0.442,44.3067034,3,NA,0.983064537
AT1G01590,1,Non WGDs,0.0418,0.1145,0.3656,0.021,101.0053212,0.188859165,3076,7,137.2857143,NA,NA,0.419,43.73522459,NA,NA,0.982690372
AT1G01610,1,Recent WGDs,0.0079,0.1066,0.0742,0.061,592.8065918,0.271164198,2650,3,264.6666667,85,259,0.464,49.33862434,2,NA,0.98210185
AT1G01630,1,Non WGDs,0.0211,0.1136,0.1857,0.007,588.3535849,0.306648923,1905,4,175.5,193,242,0.417,46.22395833,1,NA,0.981553279
AT1G01640,1,Non WGDs,0.0596,0.1399,0.4264,0.207,166.1880846,0.431663694,1515,2,298.5,124,170,0.483,46.47435897,1,NA,0.981425001
AT1G01650,1,Non WGDs,0.0069,0.0845,0.0815,0.056,501.2941477,0.206267142,4977,13,218.2307692,170,347,0.442,45.53296365,3,NA,0.981113893
AT1G01710,1,Non WGDs,0.0156,0.0937,0.1666,0.779,293.8286119,0.117702323,4944,18,136.2222222,122,1086,0.38,45.17133956,2,NA,0.978781624
AT1G01720,1,Non WGDs,0.0093,0.1323,0.07,0.009,1006.937377,0.312889886,1490,2,87,141,305,0.463,50.8045977,4,NA,0.978420376
AT1G01730,1,Singletons,0.0429,0.0672,0.6377,NA,285.0374948,0.155093502,1106,2,98,46,189,0.47,49.48148148,1,NA,0.978224268
AT1G01760,1,Singletons,0.0588,0.097,0.6065,NA,13.42727456,0.325533718,2183,9,96.77777778,NA,49,0.392,43.70546318,2,NA,0.977743487
AT1G01770,1,Singletons,0.0241,0.1091,0.2211,NA,152.218426,0.286885656,4277,15,127.6666667,144,319,0.417,45.44497104,1,NA,0.977487211
AT1G01780,1,Early WGDs,0.015,0.11,0.1361,NA,413.7052424,0.471424825,1485,4,136.5,158,163,0.5,47.57281553,1,NA,0.977256487
AT1G01800,1,Early WGDs,0.0208,0.1101,0.1893,0.495,855.9192303,0.080384214,1699,4,151.25,54,152,0.449,44.36936937,1,NA,0.976402785
AT1G01820,1,Early WGDs,0.0117,0.115,0.1018,0.179,661.3240445,0.132927536,2120,7,153.1428571,128,212,0.406,45.33898305,1,NA,0.976176072
AT1G01830,1,Early WGDs,0.0187,0.1288,0.1454,0.115,68.73321955,0.354187714,2195,1,87,201,182,0.403,48.17391304,NA,NA,0.975966608
AT1G01840,1,Singletons,0.0228,0.1449,0.1572,0.107,35.42202184,0.209253955,822,NA,NA,113,250,0.372,50.98039216,1,NA,0.975621645
AT1G01900,1,Non WGDs,0.0258,0.1727,0.1497,0.147,261.4674834,0.428374824,2815,1,355,16,119,0.442,50.27956989,4,NA,0.9749965
AT1G01940,1,Non WGDs,0.0059,0.1174,0.0501,NA,189.7050367,0.169436352,1891,4,288.75,55,198,0.461,46.37681159,3,NA,0.974015442
AT1G01950,1,Non WGDs,0.007,0.0804,0.0867,0.096,166.861268,0.109282563,5241,18,124.7777778,94,216,0.369,45.10242086,1,NA,0.973691538
AT1G01960,1,Early WGDs,0.0097,0.0806,0.1206,0.081,577.1812984,0.087671027,6995,10,150,NA,242,0.403,45.00285551,1,NA,0.973188695
AT1G01980,1,Non WGDs,0.0182,0.1484,0.1228,0.569,490.9655463,0.733443463,1828,NA,NA,NA,202,0.515,50.92250923,NA,NA,0.972628692
AT1G02000,1,Recent WGDs,0.0099,0.1893,0.0524,0.231,416.5376507,0.477767055,1781,NA,NA,240,236,0.508,53.25670498,2,NA,0.972186057
AT1G02010,1,Non WGDs,0.0032,0.0651,0.0494,0.308,101.0053212,0.188859165,4590,20,106.5,155,283,0.412,44.65875371,2,NA,0.971911892
AT1G02050,1,Recent WGDs,0.01,0.0808,0.1235,NA,136.0672742,0.581847774,1402,1,90,77,47,0.471,50.58922559,4,NA,0.971135244
AT1G02060,1,Non WGDs,0.0393,0.1397,0.2812,0.821,9.656522698,0.337299152,2177,NA,NA,44,NA,0.425,44.02250352,1,NA,0.970960236
AT1G02100,1,Singletons,0.0256,0.139,0.1844,NA,247.02545,0.1487593,3005,11,143.0909091,64,368,0.362,42.84284284,1,NA,0.968619463
AT1G02110,1,Early WGDs,0.0175,0.1006,0.1735,NA,84.65967691,0.2412782,2616,4,114,NA,120,0.492,54.50980392,3,NA,0.968376826
AT1G02130,1,Non WGDs,0.0084,0.1451,0.0579,0.535,402.4760234,0.072410054,1848,7,118.1428571,94,315,0.413,42.48366013,3,NA,0.967824685
AT1G02140,1,Singletons,0.0083,0.105,0.0791,NA,1523.744695,0.079079933,1267,2,241,55,277,0.5,46.13686534,2,NA,0.967594844
AT1G02150,1,Non WGDs,0.0197,0.0736,0.268,NA,886.6287469,0.175178196,1990,1,80,157,178,0.436,49.20634921,NA,NA,0.967139814
AT1G02170,1,Non WGDs,0.003,0.151,0.0202,0.031,508.8367037,0.137735177,1776,4,110,104,128,0.453,51.99275362,3,NA,0.966895251
AT1G02180,1,Singletons,0.0461,0.1111,0.415,0.119,90.91006924,0.250373455,1124,1,206,140,97,0.479,46.989721,1,NA,0.966782336
AT1G02190,1,Non WGDs,0.0559,0.1259,0.4444,0.765,190.7689877,0.545923499,2932,6,126.5,75,214,0.457,51.48619958,2,NA,0.966588756
AT1G02220,1,Non WGDs,0.0986,0.1882,0.5236,0.426,85.03545413,0.416144702,1834,5,96.2,80,88,0.418,41.94092827,4,NA,0.965525027
AT1G02230,1,Non WGDs,0.0891,0.1571,0.5675,0.558,8.14970015,0.368586357,1603,5,104.4,1,NA,0.396,41.38888889,4,NA,0.96502443
AT1G02270,1,Non WGDs,0.0195,0.1549,0.1261,0.273,236.3289991,0.133085929,3087,10,144.2,38,152,0.412,41.51202749,2,NA,0.964320506
AT1G02280,1,Non WGDs,0.0063,0.1066,0.0592,NA,667.5268217,0.17945901,1963,7,112.8571429,77,202,0.409,42.72930649,2,NA,0.963942932
AT1G02300,1,Recent WGDs,0.0418,0.1703,0.2452,0.2,166.8482908,0.242114764,2176,9,105.4444444,NA,87,0.407,42.28070175,4,NA,0.96355172
AT1G02305,1,Non WGDs,0.0097,0.1125,0.0858,NA,1839.419802,0.17557127,2477,10,107,128,190,0.464,42.69972452,4,NA,0.963346106
AT1G02310,1,Non WGDs,0.026,0.1389,0.1873,0.119,166.8606445,0.483482585,2564,4,293.5,44,110,0.46,44.41747573,1,NA,0.963141335
AT1G02330,1,Singletons,0.0064,0.1624,0.0392,NA,294.2735104,0.105393848,1538,5,96,91,127,0.366,43.69047619,1,NA,0.96286745
AT1G02335,1,Non WGDs,0.0156,0.1959,0.0798,0.072,101.0053212,0.188859165,1070,1,238,48,124,0.449,45.90909091,NA,NA,0.96274182
AT1G02360,1,Recent WGDs,0.0285,0.1537,0.1857,0.062,227.2333901,0.564687487,1171,1,160,44,148,0.369,47.25274725,3,NA,0.962084024
AT1G02370,1,Recent WGDs,0.0295,0.1636,0.1804,0.22,74.66545418,0.256543992,2012,1,254,16,128,0.448,43.92812887,NA,NA,0.961857592
AT1G02390,1,Recent WGDs,0.0332,0.151,0.2197,0.086,56.72292121,0.561168615,2441,1,650,69,129,0.412,44.31889517,1,NA,0.961328716
AT1G02400,1,Non WGDs,0.0234,0.0726,0.3223,0.17,82.71475805,0.435905966,2777,2,719,163,186,0.425,45.95959596,3,NA,0.960836503
AT1G02410,1,Singletons,0.0173,0.0565,0.3063,0.009,353.7061928,0.101006591,2002,7,118,148,164,0.425,42.59259259,1,NA,0.96052736
AT1G02420,1,Non WGDs,0.0153,0.1517,0.1011,0.76,51.99040232,0.111299489,1476,NA,NA,NA,NA,0.337,40.58265583,1,NA,0.960335665
